Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float
Steven Adams,54,54,28.1,3.4,5.4,.620,0.0,0.1,.000,3.4,5.4,.626,1.1,2.4,.442,3.8,5.2,9.0,2.0,0.9,0.7,1.4,2.0,7.8,NBA,  NOP,C, 27 ,"$25,000,000  ",25000000.0
Giannis Antetokounmpo,48,48,33.7,10.4,18.4,.564,1.1,3.6,.297,9.3,14.7,.630,6.8,9.8,.688,1.7,9.4,11.2,6.0,1.1,1.3,3.7,2.8,28.5,NBA,  MIL,PF, 25 ,"$25,000,000  ",25000000.0
Trevor Ariza,18,15,26.6,2.8,7.2,.385,1.5,4.1,.365,1.3,3.1,.411,1.2,1.6,.750,0.7,3.5,4.2,1.7,0.7,0.6,0.7,1.6,8.2,NBA,  MIA,SF, 35 ,"$12,500,000  ",12500000.0
Marvin Bagley III,37,37,25.7,5.6,11.2,.502,0.9,2.6,.354,4.7,8.6,.547,1.6,2.9,.560,2.5,5.0,7.4,0.9,0.5,0.5,1.3,2.4,13.9,NBA,  SAC,PF, 21 ,"$12,724,946  ",12724946.0
Harrison Barnes,56,56,36.4,5.4,11.0,.494,1.6,4.3,.379,3.8,6.7,.568,3.4,4.1,.827,1.1,5.5,6.6,3.5,0.8,0.2,1.6,1.3,15.9,NBA,  SAC,SF, 28 ,"$21,250,000  ",21250000.0
Will Barton,55,51,31.5,4.7,11.1,.426,1.8,4.7,.381,2.9,6.4,.459,1.7,2.2,.785,0.7,3.4,4.1,3.3,0.9,0.4,1.7,1.7,12.9,NBA,  DEN,SF, 29 ,"$13,250,000  ",13250000.0
Bradley Beal,49,49,35.4,10.9,22.6,.482,2.2,6.4,.343,8.7,16.2,.538,7.0,7.8,.898,1.1,3.7,4.8,4.7,1.2,0.3,3.2,2.4,31.0,NBA,  WAS,SG, 27 ,"$25,434,263  ",25434263.0
Malik Beasley,37,36,32.8,7.1,16.2,.440,3.5,8.7,.399,3.7,7.5,.487,1.8,2.2,.850,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,NBA,  MIN,SG, 23 ,"$15,000,000  ",15000000.0
Patrick Beverley,31,31,23.4,2.6,6.1,.432,1.7,4.0,.416,1.0,2.1,.462,1.1,1.3,.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8.0,NBA,  LAC,PG, 32 ,"$13,333,327  ",13333327.0
Eric Bledsoe,57,56,30.1,4.1,10.1,.407,1.8,5.1,.346,2.4,5.0,.469,1.8,2.4,.734,0.4,3.0,3.4,3.7,0.7,0.3,1.6,1.6,11.8,NBA,  NOP,PG, 30 ,"$17,500,000  ",17500000.0
Devin Booker,54,54,33.7,9.2,19.2,.482,2.0,5.8,.344,7.3,13.4,.541,4.9,5.6,.862,0.4,3.7,4.2,4.6,0.9,0.3,3.2,2.8,25.3,NBA,  PHX,SG, 23 ,"$31,650,600  ",31650600.0
Malcolm Brogdon,52,52,35.1,8.1,17.8,.455,2.7,6.8,.393,5.4,11.0,.493,2.7,3.1,.863,1.1,4.1,5.2,6.0,0.9,0.3,2.1,2.0,21.5,NBA,  IND,PG, 27 ,"$21,250,000  ",21250000.0
Jaylen Brown,53,53,34.2,9.3,18.8,.496,2.7,6.8,.404,6.6,12.0,.548,3.2,4.2,.754,1.2,4.6,5.8,3.4,1.2,0.5,2.7,2.9,24.5,NBA,  BOS,SG, 23 ,"$26,583,334  ",26583334.0
Jimmy Butler,42,42,33.8,7.1,14.4,.494,0.5,2.0,.229,6.6,12.4,.537,6.7,7.9,.855,1.9,5.3,7.2,7.3,2.1,0.4,2.1,1.5,21.4,NBA,  MIA,SF, 31 ,"$35,197,650  ",35197650.0
Kentavious Caldwell-Pope,54,54,27.3,3.2,7.4,.429,1.7,4.1,.420,1.4,3.2,.440,1.2,1.5,.848,0.4,2.3,2.7,1.6,0.8,0.3,1.0,1.6,9.3,NBA,  LAL,SG, 27 ,"$13,038,862  ",13038862.0
Clint Capela,52,52,30.5,6.8,11.3,.604,0.0,0.0,,6.8,11.3,.604,2.1,3.7,.579,4.9,9.8,14.7,0.8,0.7,2.2,1.2,2.3,15.7,NBA,  ATL,C, 26 ,"$18,000,000  ",18000000.0
Jordan Clarkson,55,1,26.0,6.4,15.1,.424,3.0,8.7,.350,3.4,6.4,.524,1.7,1.8,.949,0.7,3.2,4.0,2.1,0.9,0.1,1.7,1.5,17.5,NBA,  UTH,PG, 28 ,"$12,880,000  ",12880000.0
Mike Conley,47,47,29.7,5.6,12.5,.447,2.7,6.6,.412,2.9,5.9,.486,2.3,2.7,.857,0.7,2.7,3.4,5.9,1.3,0.2,1.9,2.0,16.2,NBA,  UTH,PG, 32 ,"$30,521,116  ",30521116.0
Stephen Curry,51,51,34.1,10.2,21.0,.486,5.1,12.1,.425,5.1,8.9,.570,5.6,6.0,.922,0.5,5.1,5.5,5.9,1.2,0.1,3.3,1.8,31.1,NBA,  GSW,PG, 32 ,"$40,231,758  ",40231758.0
Anthony Davis,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5,NBA,  LAL,PF, 27 ,"$37,980,720  ",37980720.0
DeMar DeRozan,49,49,33.9,7.3,14.8,.492,0.4,1.4,.269,6.9,13.4,.515,6.1,6.9,.879,0.7,3.7,4.4,7.1,0.9,0.3,1.9,2.0,21.0,NBA,  SAS,SG, 31 ,"$27,800,000  ",27800000.0
Kevin Durant,24,22,32.7,9.3,17.1,.543,2.5,5.5,.462,6.8,11.6,.581,6.1,7.0,.870,0.4,6.3,6.7,5.2,0.6,1.3,3.7,2.0,27.3,NBA,  BKN,SF, 32 ,"$41,063,925  ",41063925.0
Joel Embiid,40,40,32.2,9.5,18.4,.515,1.2,3.1,.387,8.3,15.3,.541,10.0,11.8,.851,2.4,9.0,11.3,3.2,1.0,1.4,3.2,2.4,30.1,NBA,  PHI,C, 26 ,"$29,542,010  ",29542010.0
Evan Fournier,30,26,30.1,6.2,13.6,.457,2.8,7.0,.398,3.4,6.5,.520,3.4,4.2,.795,0.2,2.6,2.7,3.4,1.1,0.4,1.9,2.2,18.6,NBA,  BOS,SG, 27 ,"$17,000,000  ",17000000.0
Danilo Gallinari,39,4,24.0,4.0,9.5,.425,2.1,5.2,.407,1.9,4.2,.448,3.2,3.4,.933,0.3,3.8,4.1,1.4,0.6,0.2,1.0,2.1,13.4,NBA,  ATL,PF, 32 ,"$20,475,000  ",20475000.0
Rudy Gay,50,0,21.6,4.0,9.8,.414,1.6,4.2,.373,2.5,5.5,.446,1.3,1.6,.800,0.7,4.2,4.9,1.5,0.7,0.6,1.0,1.9,10.9,NBA,  SAS,SF, 34 ,"$16,000,000  ",16000000.0
Paul George,45,45,33.6,8.5,17.6,.483,3.3,7.6,.432,5.2,10.0,.521,3.6,4.0,.885,0.9,5.5,6.4,5.4,1.2,0.5,3.2,2.4,23.8,NBA,  LAC,SG, 30 ,"$34,227,984  ",34227984.0
Rudy Gobert,58,58,31.0,5.5,8.2,.673,0.0,0.1,.000,5.5,8.2,.677,3.4,5.6,.615,3.4,10.2,13.6,1.3,0.5,2.8,1.6,2.4,14.5,NBA,  UTH,C, 28 ,"$25,500,000  ",25500000.0
Aaron Gordon,38,38,28.6,4.8,10.5,.460,1.4,3.9,.354,3.5,6.7,.522,2.2,3.4,.651,1.5,4.6,6.1,3.7,0.7,0.7,2.2,1.8,13.3,NBA,  DEN,PF, 25 ,"$20,000,000  ",20000000.0
Eric Gordon,27,13,29.2,5.9,13.6,.433,2.6,7.8,.329,3.3,5.8,.573,3.5,4.2,.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,NBA,  HOU,SG, 31 ,"$18,893,589  ",18893589.0
Jerami Grant,51,51,34.2,7.5,17.3,.430,2.2,6.2,.357,5.3,11.2,.471,5.4,6.3,.854,0.7,4.0,4.6,2.9,0.7,1.1,2.0,2.4,22.5,NBA,  DET,PF, 26 ,"$20,002,500  ",20002500.0
Danny Green,57,57,28.6,3.4,8.0,.423,2.6,6.3,.418,0.8,1.7,.443,0.4,0.6,.758,0.8,2.9,3.8,1.7,1.3,0.9,1.0,1.9,9.8,NBA,  PHI,SG, 33 ,"$15,000,000  ",15000000.0
Draymond Green,51,51,30.8,2.5,6.1,.418,0.5,2.1,.255,2.0,4.0,.502,1.0,1.3,.779,0.9,5.6,6.5,8.5,1.7,0.8,2.9,3.2,6.7,NBA,  GSW,PF, 30 ,"$24,916,591  ",24916591.0
Tim Hardaway Jr.,56,20,28.3,5.6,12.7,.440,2.8,7.4,.385,2.8,5.3,.517,1.8,2.2,.800,0.3,3.0,3.3,1.7,0.4,0.1,0.9,1.5,15.8,NBA,  DAL,SG, 28 ,"$17,737,500  ",17737500.0
James Harden,42,42,37.1,8.0,17.2,.463,2.8,7.8,.358,5.2,9.4,.549,6.5,7.5,.870,0.8,7.2,8.0,10.9,1.2,0.7,4.1,2.3,25.2,NBA,  BKN,SG, 31 ,"$42,782,880  ",42782880.0
Gary Harris,25,24,29.4,3.6,8.5,.423,1.2,3.6,.341,2.4,4.9,.484,1.7,2.2,.778,0.6,1.6,2.2,1.9,0.8,0.3,0.9,2.0,10.1,NBA,  ORL,SG, 26 ,"$21,000,000  ",21000000.0
Joe Harris,59,55,30.8,5.3,10.3,.515,3.2,6.5,.482,2.1,3.7,.573,0.7,0.9,.759,0.6,2.9,3.6,1.8,0.7,0.2,0.8,2.0,14.4,NBA,  BKN,SG, 29 ,"$18,750,000  ",18750000.0
Tobias Harris,49,49,33.3,7.9,15.2,.521,1.4,3.5,.407,6.5,11.7,.555,3.2,3.6,.886,1.0,6.2,7.2,3.6,0.9,0.9,1.9,2.0,20.5,NBA,  PHI,SF, 28 ,"$36,000,000  ",36000000.0
Gordon Hayward,44,44,34.0,7.1,15.0,.473,1.9,4.7,.415,5.1,10.3,.499,3.5,4.2,.843,0.8,5.0,5.9,4.1,1.2,0.3,2.1,1.7,19.6,NBA,  CHA,SF, 30 ,"$30,000,000  ",30000000.0
Buddy Hield,58,58,34.3,5.7,14.1,.404,4.0,10.4,.385,1.7,3.7,.458,1.2,1.5,.837,0.4,4.1,4.5,3.1,0.8,0.4,1.7,2.5,16.6,NBA,  SAC,SG, 27 ,"$23,500,000  ",23500000.0
Jrue Holiday,45,42,31.9,6.9,13.6,.506,1.9,4.7,.404,5.0,8.8,.560,1.7,2.0,.837,1.3,3.2,4.5,5.5,1.8,0.5,2.1,1.7,17.4,NBA,  MIL,SG, 30 ,"$25,200,000  ",25200000.0
Al Horford,28,28,27.9,5.8,12.9,.450,2.0,5.4,.368,3.8,7.4,.510,0.6,0.8,.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,NBA,  OKC,PF, 34 ,"$27,250,000  ",27250000.0
Andre Iguodala,52,4,21.5,1.6,4.2,.385,1.0,3.2,.329,0.6,1.0,.556,0.4,0.7,.647,0.6,3.1,3.7,2.2,1.0,0.5,1.0,1.4,4.7,NBA,  MIA,SF, 36 ,"$15,000,000  ",15000000.0
Joe Ingles,54,17,27.2,4.2,8.0,.525,2.9,5.8,.494,1.4,2.2,.608,1.1,1.3,.857,0.4,3.3,3.7,4.4,0.7,0.2,1.6,1.9,12.4,NBA,  UTH,SF, 32 ,"$13,000,000  ",13000000.0
Brandon Ingram,53,53,34.7,8.5,18.2,.468,2.4,6.2,.382,6.2,12.0,.513,4.8,5.4,.885,0.6,4.4,4.9,4.8,0.7,0.7,2.5,2.0,24.2,NBA,  NOP,SF, 23 ,"$31,650,600  ",31650600.0
